1,Административный директор-руководитель аппарата
2,Руководитель контрольно-ревизионного направления
3,Начальник отдела
4,Старший специалист
5,Руководитель проекта
6,Специалист
7,Менеджер проектов
8,Ведущий специалист
9,Водитель
10,Курьер
11,Начальник управления
12,Руководитель проектов
13,Специалист по складской работе
14,Руководитель направления
15,Директор Академии
16,Заместитель директора Академии по практической подготовке
17,Главный специалист
18,Ведущий специалист по договорной работе
19,Генеральный директор
20,Заместитель генерального директора по внедрению стандартов
21,Заместитель генерального директора по исследованиям и разработкам
22,Заместитель генерального директора по коммуникациям
23,Заместитель генерального директора по маркетингу и партнерским отношениям
24,Заместитель генерального директора по организации корпоративов
25,Заместитель генерального директора по подготовке кадров
26,Первый заместитель генерального директора
27,Помощник генерального директора
28,Советник генерального директора по стратегическому развитию
29,Советник генерального директора по оперативному планированию
30,Заместитель директора департамента
31,Специалист технического сопровождения
32,Руководитель управления
33,Руководитель проекта по разработке дизайна
34,Руководитель проекта по рекламе
35,Директор департамента
36,Специалист по охране труда
37,Финансовый контролер
38,Бухгалтер
39,Бухгалтер по расчету заработной платы
40,Ведущий бухгалтер
41,Начальник управления - Заместитель главного бухгалтера
42,Старший бухгалтер
43,Специалист казначейства
44,Руководитель департамента - Главный бухгалтер
45,Начальник финансово - экономического отдела