1,1,Административный департамент
2,1,Договорной отдел
3,1,Общий отдел
4,1,Отдел закупок
5,1,Отдел протокольного сопровождения
6,1,Управление административно-хозяйственной деятельности
7,1,Управление безопасности
8,1,Управление по обеспечению безопасности
9,2,Академия Умные дороги
10,2,Отдел сетевых программ
11,2,Проектно-аналитический отдел
12,2,Учебно-организационный отдел
13,3,Аппарат управления
14,4,Департамент коммуникаций
15,4,Управление по PR-проектам
16,4,Управление Пресс-службы
17,5,Департамент маркетинга и партнерских отношений
18,5,Управление маркетинга
19,5,Управление по развитию бизнеса
20,5,Управление по развитию партнерских отношений
21,6,Департамент по организации корпоративов
22,7,Департамент по работе с персоналом
23,8,Департамент по работе с промышленностью
24,9,Аналитический отдел
25,9,Отдел проектного управления
26,10,Управление Финансового планирования и контроля
27,11,Управление бухгалтерского и налогового учета
28,11,Управление казначейства
29,11,Финансово-экономический департамент
30,11,Финансово-экономическое управление
31,12,Управление нормативного обеспечения и договорной работы
32,12,Юридический департамент